,City,Car_Name,Maker,Variant,Year,Model,Fuel_Type,KM_Driven,ownerNumber,Listing_Price,Discount,Original_Price,Car_Id,Cash_Down_Payment,Ex_Showroom_Price,On_Road_Price,CalculatedScore
3887,Hyderabad,Maruti Alto 800,MARUTI,LXI,2018,ALTO 800,Petrol,97360,1,297299,25350,322649,10400390735,0,284757,297299,507000
3888,Hyderabad,Hyundai Grand i10,HYUNDAI,SPORTZ 1.2 KAPPA VTVT,2020,GRAND I10,Petrol,38527,2,579499,28900,608399,10499793753,0,565601,579499,507000
3889,Hyderabad,Hyundai i10,HYUNDAI,MAGNA 1.2 KAPPA2,2013,I10,Petrol,95941,1,378999,-25400,378999,10459192722,0,365101,378999,322000
3890,Hyderabad,KIA SELTOS,KIA,GTK 1.4 GDI PETROL,2020,SELTOS,Petrol,26776,1,1295199,149200,1444399,10400493726,0,1285511,1295199,715000
3891,Hyderabad,Maruti Ciaz,MARUTI,SIGMA 1.4 VVT,2017,CIAZ,Petrol,75329,2,603099,74500,677599,1042990169,0,589201,603099,507000
3892,Hyderabad,Hyundai Eon,HYUNDAI,ERA PLUS,2015,EON,Petrol,76784,2,294699,15000,309699,10416091753,0,282157,294699,102000
3893,Hyderabad,Hyundai Creta,Hyundai,1.5 SX (O),2021,Creta,Diesel,18959,1,1689499,45900,1735399,10466475794,0,1675601,1689499,474000
3894,Hyderabad,Maruti Celerio,Maruti,VXI,2020,Celerio,Petrol,18152,1,542799,-3200,542799,10404691761,0,530257,542799,367000
3895,Hyderabad,Honda City,Honda,V MT PETROL,2022,City,Petrol,9354,1,1186699,37900,1224599,10477370799,0,1177011,1186699,474000
3896,Hyderabad,Hyundai Grand i10,Hyundai,ASTA 1.1 CRDI,2013,Grand i10,Diesel,46906,2,423699,5000,428699,10449971770,0,411511,423699,181000
3897,Hyderabad,KIA SELTOS,KIA,HTK PLUS 1.5 DIESEL,2021,SELTOS,Diesel,45344,1,1366599,66800,1433399,10460073797,0,1354411,1366599,715000
3898,Hyderabad,Hyundai Grand i10,HYUNDAI,SPORTZ 1.2 KAPPA VTVT,2016,GRAND I10,Petrol,12062,1,505499,23600,529099,10451495729,0,491601,505499,181000
3899,Hyderabad,Hyundai i10,HYUNDAI,MAGNA 1.2 KAPPA2,2013,I10,Petrol,85859,2,375899,-22300,375899,10496690775,0,366211,375899,520000
3900,Hyderabad,Hyundai Elite i20,Hyundai,MAGNA+ VTVT,2019,Elite i20,Petrol,27362,2,671399,0,671399,10462776778,0,657501,671399,367000
3901,Hyderabad,Hyundai Elite i20,Hyundai,SPORTZ 1.2,2017,Elite i20,Petrol,91280,1,599299,0,599299,10488875775,0,589611,599299,715000
3902,Hyderabad,Maruti Wagon R 1.0,MARUTI,VXI,2018,WAGON R 1.0,Petrol,53878,1,412799,20600,433399,10410495720,0,400257,412799,315000
3903,Hyderabad,Hyundai Elite i20,Hyundai,SPORTZ 1.2,2017,Elite i20,Petrol,61985,1,602699,5000,607699,10491171714,0,593011,602699,315000
3904,Hyderabad,Hyundai Grand i10,HYUNDAI,SPORTZ 1.2 KAPPA VTVT,2016,GRAND I10,Petrol,42429,2,480399,21100,501499,10412498784,0,466501,480399,181000
3905,Hyderabad,Hyundai Elite i20,Hyundai,ASTA 1.4 CRDI,2015,Elite i20,Diesel,69572,2,620199,21000,641199,10442679775,0,606301,620199,181000
3906,Hyderabad,Maruti Ritz,Maruti,ZXI,2014,Ritz,Petrol,85291,2,358799,7300,366099,10499296707,0,344901,358799,181000
3907,Hyderabad,Maruti Swift,MARUTI,ZXI,2017,SWIFT,Petrol,45733,2,631999,16000,647999,12150290711,0,618101,631999,169000
3908,Hyderabad,Maruti Celerio,Maruti,VXI,2014,Celerio,Petrol,97462,1,359799,0,359799,10484576774,0,350111,359799,468000
3909,Hyderabad,Honda City,HONDA,V MT PETROL,2015,CITY,Petrol,71472,2,660499,-4900,660499,10457895744,0,650811,660499,102000
3910,Hyderabad,Maruti Swift,Maruti,ZXI + AMT,2019,Swift,Petrol,94590,1,751999,0,751999,10448570775,0,739811,751999,715000
3911,Hyderabad,Maruti OMNI E,Maruti,8 STR,2018,OMNI E,Petrol,39588,1,317999,-3800,317999,10422293764,0,308311,317999,169000
3912,Hyderabad,Maruti Wagon R 1.0,MARUTI,VXI,2018,WAGON R 1.0,Petrol,64160,1,417799,32700,450499,10478599790,0,405257,417799,507000
3913,Hyderabad,Hyundai Grand i10,HYUNDAI,SPORTZ 1.2 KAPPA VTVT,2015,GRAND I10,Petrol,89506,2,435899,24100,459999,10404696749,0,422001,435899,102000
3914,Hyderabad,Honda Brio,HONDA,1.2 S MT I VTEC,2013,BRIO,Petrol,72124,1,394099,-5300,394099,28661194758,0,380201,394099,140000
3915,Hyderabad,Volkswagen Polo,VOLKSWAGEN,COMFORTLINE  CUP EDITION,2019,POLO,Petrol,35938,1,764799,0,764799,10495672797,0,752611,764799,715000
3916,Hyderabad,Tata Tiago,TATA,XT 1.2 REVOTRON,2021,TIAGO,Petrol,42713,2,613299,0,613299,10463493744,0,599401,613299,715000
3917,Hyderabad,Honda WR-V,Honda,1.2 i-VTEC VX MT,2017,WR-V,Petrol,63136,2,728599,-18200,728599,10429594765,0,714701,728599,507000
3918,Hyderabad,Tata PUNCH,Tata,ACCOMPLISHED AMT,2021,PUNCH,Petrol,10218,1,858699,-2100,858699,10416475774,0,846511,858699,715000
3919,Hyderabad,Honda Jazz,Honda,1.2 V MT,2018,Jazz,Petrol,28010,1,734299,-5200,734299,10481372719,0,720401,734299,169000
3920,Hyderabad,Maruti Wagon R Stingray,Maruti,VXI,2014,Wagon R Stingray,Petrol,79942,1,381099,-33400,381099,10417178797,0,371411,381099,520000
3921,Hyderabad,Honda Brio,Honda,1.2 S MT I VTEC,2013,Brio,Petrol,56387,1,387149,14150,401299,10499371710,0,373251,387149,181000
3922,Hyderabad,Honda Jazz,Honda,1.2 V AT,2018,Jazz,Petrol,61361,1,664699,-800,664699,10453776798,0,650801,664699,507000
3923,Hyderabad,Hyundai Grand i10,HYUNDAI,SPORTZ 1.2 KAPPA VTVT,2014,GRAND I10,Petrol,83089,2,423399,34900,458299,1041010363,0,409501,423399,102000
3924,Hyderabad,Hyundai Eon,Hyundai,SPORTZ,2018,Eon,Petrol,86736,1,366599,-10600,366599,10479473790,0,356911,366599,507000
3925,Hyderabad,Hyundai Elite i20,Hyundai,SPORTZ 1.2,2017,Elite i20,Petrol,19879,1,652999,-49700,652999,10421371791,0,643311,652999,370000
3926,Hyderabad,KIA SELTOS,KIA,HTK PLUS AT 1.5 DIESEL,2019,SELTOS,Diesel,40029,1,1339599,35900,1375499,10448578770,0,1327411,1339599,715000
3927,Hyderabad,Maruti Wagon R 1.0,MARUTI,VXI,2016,WAGON R 1.0,Petrol,35104,2,400799,21300,422099,10442797737,0,388257,400799,181000
3928,Hyderabad,Tata Tiago,Tata,XZ+ 1.2 Revotron,2019,Tiago,Petrol,21945,1,635299,-7400,635299,10435670773,0,621401,635299,367000
3929,Hyderabad,Hyundai NEW SANTRO,HYUNDAI,SPORTZ 1.1,2019,NEW SANTRO,Petrol,44530,1,491999,40800,532799,10438890757,0,478101,491999,507000
3930,Hyderabad,Maruti Wagon R 1.0,Maruti,VXI,2017,Wagon R 1.0,Petrol,77595,1,433099,7200,440299,10480278793,0,420557,433099,507000
3931,Hyderabad,Hyundai Elite i20,HYUNDAI,1.2 SPORTS PLUS VTVT,2020,ELITE I20,Petrol,58867,1,754999,5900,760899,10488695733,0,741101,754999,715000
3932,Hyderabad,Hyundai Elite i20,Hyundai,1.2 SPORTS PLUS VTVT,2020,Elite i20,Petrol,35597,1,799199,8800,807999,10405871777,0,785301,799199,507000
3933,Hyderabad,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR,2021,Eeco,Petrol,20549,1,506299,5000,511299,10484972796,0,492401,506299,507000
3934,Hyderabad,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT,2015,Grand i10,Petrol,49217,1,461999,23100,485099,10440372773,0,452311,461999,181000
3935,Hyderabad,Honda Jazz,Honda,1.2 VX AT,2019,Jazz,Petrol,45395,1,795499,-18900,795499,10437770772,0,781601,795499,507000
3936,Hyderabad,Maruti Wagon R 1.0,MARUTI,VXI,2017,WAGON R 1.0,Petrol,72934,1,368399,38500,406899,10429398710,0,355857,368399,102000
3937,Hyderabad,Hyundai Grand i10,Hyundai,MAGNA 1.2 VTVT,2014,Grand i10,Petrol,46149,1,395499,5000,400499,10483777793,0,381601,395499,181000
3938,Hyderabad,Maruti Alto 800,Maruti,LXI,2017,Alto 800,Petrol,76919,1,309099,0,309099,10485976790,0,296557,309099,507000
3939,Hyderabad,Hyundai Grand i10,HYUNDAI,SPORTZ 1.2 KAPPA VTVT,2014,GRAND I10,Petrol,46284,2,449099,21300,470399,10495699730,0,435201,449099,181000
3940,Hyderabad,Maruti Alto 800,MARUTI,LXI,2019,ALTO 800,Petrol,20709,2,311599,10800,322399,10476395771,0,301911,311599,169000
3941,Hyderabad,Honda City,HONDA,V MT PETROL,2019,CITY,Petrol,83657,1,882999,35500,918499,10474098748,0,869101,882999,507000
3942,Hyderabad,Honda Amaze,Honda,1.2 SMT I VTEC,2015,Amaze,Petrol,81544,2,457299,11000,468299,10405099702,0,443401,457299,102000
3943,Hyderabad,Honda Brio,Honda,1.2 S MT I VTEC,2015,Brio,Petrol,97316,1,385199,5000,390199,10446194706,0,371301,385199,102000
3944,Hyderabad,Maruti Vitara Brezza,MARUTI,ZXI,2021,VITARA BREZZA,Petrol,32452,1,1027699,31000,1058699,10463599726,0,1015157,1027699,715000
3945,Hyderabad,Hyundai NEW SANTRO,HYUNDAI,1.1 MAGNA AMT,2019,NEW SANTRO,Petrol,17723,1,529899,7300,537199,10432890703,0,520211,529899,367000
3946,Hyderabad,Volkswagen Polo,Volkswagen,HIGHLINE PLUS 1.0 TSI MT,2020,Polo,Petrol,5956,1,931599,0,931599,10429274712,0,919411,931599,474000
3947,Hyderabad,KIA SELTOS,KIA,HTX 1.5 DIESEL,2020,SELTOS,Diesel,61867,1,1442299,5000,1447299,10436675797,0,1430111,1442299,715000
3948,Hyderabad,Maruti Alto K10,MARUTI,VXI,2017,ALTO K10,Petrol,52083,1,332499,29800,362299,1049099067,0,319957,332499,3405
3949,Hyderabad,Hyundai NEW SANTRO,HYUNDAI,SPORTZ 1.1,2019,NEW SANTRO,Petrol,42825,2,496199,37900,534099,10445198778,0,482301,496199,507000
3950,Hyderabad,Maruti S PRESSO,Maruti,VXI PLUS,2020,S PRESSO,Petrol,4608,1,498499,26500,524999,10441795767,0,485957,498499,367000
3951,Hyderabad,Hyundai NEW SANTRO,HYUNDAI,SPORTZ 1.1,2019,NEW SANTRO,Petrol,19126,1,523099,27020,550119,10456994783,0,509201,523099,367000
3952,Hyderabad,Hyundai Eon,HYUNDAI,MAGNA PLUS,2018,EON,Petrol,58146,2,358999,-12200,358999,10410691767,0,346457,358999,507000
3953,Hyderabad,Honda Jazz,HONDA,1.2 VX I-VTECH,2015,JAZZ,Petrol,84253,1,564099,24700,588799,10488495783,0,550201,564099,102000
3954,Hyderabad,Hyundai Verna,Hyundai,SX (O) DIESEL MT,2021,Verna,Diesel,14399,1,1477999,60400,1538399,10490192763,0,1468311,1477999,715000
3955,Hyderabad,Maruti Vitara Brezza,MARUTI,ZXI,2022,VITARA BREZZA,Petrol,9096,1,1079099,-2700,1079099,10440179776,0,1069411,1079099,474000
3956,Hyderabad,Nissan Terrano,Nissan,XV D THP PREMIUM 110 PS,2014,Terrano,Diesel,90968,1,700799,-33600,700799,10422370792,0,688611,700799,102000
3957,Hyderabad,Ford New Figo,FORD,1.5 TITANIUM AT PETROL,2016,NEW FIGO,Petrol,56619,2,536999,35300,572299,10432890710,0,527311,536999,181000
3958,Hyderabad,Maruti Alto 800,Maruti,VXI,2017,Alto 800,Petrol,63050,2,303399,0,303399,10427790704,0,290857,303399,315000
3959,Hyderabad,Maruti Vitara Brezza,MARUTI,ZXI +,2021,VITARA BREZZA,Petrol,26848,1,1065899,-4300,1065899,10487895723,0,1056211,1065899,715000
3960,Hyderabad,Hyundai Grand i10,HYUNDAI,SPORTZ O 1.2,2017,GRAND I10,Petrol,28809,2,512999,25800,538799,10488991700,0,499101,512999,169000
3961,Hyderabad,Hyundai Creta,Hyundai,1.6 SX CRDI,2016,Creta,Diesel,96615,1,969399,28000,997399,10454973791,0,949992,969399,715000
3962,Hyderabad,Maruti Wagon R 1.0,MARUTI,VXI,2018,WAGON R 1.0,Petrol,12453,3,451099,19700,470799,10429493786,0,438557,451099,169000
3963,Hyderabad,Hyundai NEW SANTRO,Hyundai,1.1 SPORTS AMT,2021,NEW SANTRO,Petrol,20648,1,652599,44800,697399,10429671793,0,640411,652599,507000
3964,Hyderabad,Hyundai Grand i10,HYUNDAI,SPORTZ O 1.2,2017,GRAND I10,Petrol,50334,2,507199,31600,538799,10446498721,0,493301,507199,507000
3965,Hyderabad,Maruti Wagon R 1.0,Maruti,VXI,2017,Wagon R 1.0,Petrol,81492,2,404899,13300,418199,10404992709,0,392357,404899,102000
3966,Hyderabad,Hyundai Elite i20,HYUNDAI,SPORTZ 1.2,2018,ELITE I20,Petrol,68090,1,646999,0,646999,10430398768,0,633101,646999,315000
3967,Hyderabad,Maruti Vitara Brezza,Maruti,ZDI,2018,Vitara Brezza,Diesel,51520,1,983399,0,983399,10414072792,0,969501,983399,507000
3968,Hyderabad,Mahindra Kuv100,Mahindra,K4 6 STR,2017,Kuv100,Petrol,45609,2,422299,-10200,422299,10487792709,0,412611,422299,169000
3969,Hyderabad,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR,2019,Eeco,Petrol,28408,2,486599,0,486599,10468193763,0,476911,486599,367000
3970,Hyderabad,KIA SELTOS,KIA,1.5 GTX+ AT,2019,SELTOS,Diesel,69553,1,1656399,36900,1693299,10488994766,0,1642501,1656399,715000
3971,Hyderabad,Hyundai Grand i10,Hyundai,1.2 ASTA (O) AT,2016,Grand i10,Petrol,65617,1,520799,22800,543599,10420899708,0,506901,520799,102000
3972,Hyderabad,Honda Brio,HONDA,1.2 S MT I VTEC,2014,BRIO,Petrol,73873,1,381099,5000,386099,10473998720,0,367201,381099,140000
3973,Hyderabad,Nissan Terrano,Nissan,XV D THP PREMIUM 110 PS,2015,Terrano,Diesel,87760,2,629099,5000,634099,10409171795,0,616911,629099,102000
3974,Hyderabad,MG HECTOR,MG,SHARP 2.0 DIESEL,2020,HECTOR,Diesel,69314,1,1580299,182600,1762899,10433994750,0,1570611,1580299,715000
3975,Hyderabad,Hyundai NEW SANTRO,HYUNDAI,SPORTZ 1.1,2019,NEW SANTRO,Petrol,72900,1,476299,55800,532099,10492190756,0,462401,476299,507000
3976,Hyderabad,Volkswagen Polo,VOLKSWAGEN,HIGHLINE PLUS 1.0 TSI MT,2020,POLO,Petrol,23433,1,832399,99800,932199,10438995748,0,822711,832399,715000
3977,Hyderabad,Hyundai Elite i20,Hyundai,SPORTZ 1.2,2017,Elite i20,Petrol,35634,1,666199,0,666199,10433776794,0,652301,666199,169000
3978,Hyderabad,Hyundai Grand i10,HYUNDAI,SPORTZ O 1.2,2017,GRAND I10,Petrol,72123,1,508999,23500,532499,10464799731,0,495101,508999,507000
3979,Hyderabad,Hyundai Elite i20,Hyundai,SPORTZ 1.2,2018,Elite i20,Petrol,13741,1,690799,-15900,690799,10442074797,0,681111,690799,370000
3980,Hyderabad,Hyundai Xcent,Hyundai,E PLUS,2017,Xcent,Petrol,60864,2,537099,0,537099,10436977794,0,523201,537099,507000
3981,Hyderabad,Hyundai Creta,Hyundai,1.6 SX CRDI,2019,Creta,Diesel,43870,2,1235699,95700,1331399,10418271796,0,1216292,1235699,715000
3982,Hyderabad,Hyundai Creta,HYUNDAI,S CRDI,2020,CRETA,Diesel,58113,1,1338499,80100,1418599,10422590718,0,1328811,1338499,715000
3983,Hyderabad,Honda Jazz,HONDA,1.2 VX I-VTECH,2015,JAZZ,Petrol,82373,3,511499,74050,585549,1040506766,0,497601,511499,102000
3984,Hyderabad,Honda Jazz,HONDA,1.2 V AT,2016,JAZZ,Petrol,42524,2,661999,15900,677899,10420290729,0,648101,661999,181000
